qid,v4,v5,v6,v7,v8,v9,v10,v11,v12
fc_a_001,ABD,ABD,ABD,ABD,ABD,ABD,ABD,ABD,ABD
fc_a_002,ABD,ABD,ABD,ABD,ABD,ABD,ABD,ABD,ABD
fc_a_003,A,A,A,A,A,A,A,A,A
fc_a_004,A,AD,AD,AD,AD,AD,AD,AD,AD
fc_a_005,ABD,ABD,ABD,ABD,ABD,ABD,ABD,ABD,ABD
fc_a_006,A,A,A,A,A,A,A,A,A
fc_a_007,D,BD,BD,BD,BD,BD,BD,BD,BD
fc_a_008,B,B,B,B,B,B,B,B,B
fc_a_009,ABD,ABD,ABD,ABD,ABD,ABD,ABD,ABD,ABD
fc_a_010,A,A,A,A,A,A,A,A,A
fc_a_011,AB,AB,AB,AB,AB,AB,AB,AB,AB
fc_a_012,AC,AC,AC,AC,AC,ACD,AC,ACD,ACD
fc_a_013,B,A,A,A,A,A,A,A,A
fc_a_014,B,AB,B,B,B,AB,AB,AB,A
fc_a_015,A,A,A,A,A,B,A,B,B
fc_a_016,ABC,ABC,ABC,ABC,ABC,ABC,ABC,ABC,ABC
fc_a_017,ABD,ABD,ABD,ABD,ABD,ABD,ABD,ABD,ABD
fc_a_018,B,A,A,A,A,A,A,A,A
fc_a_019,AD,AB,AB,AB,AB,AB,AB,AB,AB
fc_a_020,AB,AB,AB,AB,AB,AB,AB,AB,AB
fin_a_001,AB,AB,AB,AB,AB,AB,AB,AB,AB
fin_a_002,ABD,ABD,ABD,ABD,ABD,ABD,ABD,ABD,ABD
fin_a_003,A,A,A,A,A,A,A,A,A
fin_a_004,ABD,ABD,ABD,ABD,ABD,ABD,ABD,ABD,ABD
fin_a_005,ABD,ABD,ABD,ABD,ABD,ABD,ABD,ABD,ABD
fin_a_006,A,A,A,A,A,A,A,A,A
fin_a_007,ABD,ABD,ABD,ABD,ABD,ABD,ABD,ABD,ABD
fin_a_008,B,B,B,B,B,B,B,B,B
fin_a_009,ABC,ABC,ABC,ABC,ABC,ABC,ABC,ABC,ABC
fin_a_010,A,A,A,A,A,A,A,A,A
fin_a_011,ACD,ACD,ACD,ACD,ACD,ACD,ACD,ACD,ACD
fin_a_012,ABD,ABD,ABD,ABD,ABD,ABD,ABD,ABD,ABD
fin_a_013,A,A,A,A,A,A,A,A,A
